Timestamp,Source,Event,Details
2025-09-30T15:13:49.370628,Arduino,Message,6
2025-09-30T15:13:49.927719,Arduino,Message,AY: -3408
2025-09-30T15:13:52.711744,Arduino,Message,AY: -3240
2025-09-30T15:13:55.901892,Arduino,Message,-2872
2025-09-30T15:13:59.250701,Arduino,Message,AY: -2920
2025-09-30T15:14:02.511113,Arduino,Message,AY: -3280
2025-09-30T15:14:06.119011,Arduino,Message,AY: -2816
2025-09-30T15:14:09.308549,Arduino,Message,AY: -3144
2025-09-30T15:14:09.750259,Arduino,Message,AY: -2980
2025-09-30T15:14:10.492956,Arduino,Message,AY: -2748
2025-09-30T15:14:12.450050,Arduino,Message,AY: -3376
2025-09-30T15:14:15.671223,Arduino,Message,AY: -3144
2025-09-30T15:14:18.795218,Arduino,Message,AY: -3156
2025-09-30T15:14:21.923924,Arduino,Message,AY: -3408
2025-09-30T15:14:25.193786,Arduino,Message,AY: -3240
2025-09-30T15:14:25.792976,Arduino,Message,-2872
2025-09-30T15:14:26.060679,Arduino,Message,AY: -2920
2025-09-30T15:14:28.367081,Arduino,Message,AY: -3280
2025-09-30T15:14:35.444213,Arduino,Message,AY: -2816
